Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Customer_Segment
24200,107,5,10787,5,4,2,New Customers
29305,750,5,16184,1,4,4,Cannot Lose Them
4364,393,6,14703,5,4,3,Loyal Customers
2525,48,7,14035,5,5,3,Loyal Customers
34494,104,3,2684,5,2,1,New Customers
34489,92,5,10028,5,4,2,New Customers
43260,44,4,11556,5,3,3,Loyal Customers
31988,140,6,18642,5,4,4,Champions
46971,285,4,17074,5,3,4,Loyal Customers
4186,327,4,12207,5,3,3,Loyal Customers
26375,81,10,27063,5,5,5,Champions
9071,236,5,20121,5,4,5,Champions
45895,105,7,14789,5,5,3,Loyal Customers
28893,578,3,12072,1,2,3,Lost
31447,60,12,28583,5,5,5,Champions
35094,392,5,16125,5,4,4,Champions
48623,18,8,20969,5,5,5,Champions
35355,6,10,25277,5,5,5,Champions
20195,296,4,11835,5,3,3,Loyal Customers
38138,107,5,16843,5,4,4,Champions
10395,461,6,19918,1,4,5,Cannot Lose Them
37679,123,6,17472,5,4,4,Champions
22215,12,6,13519,5,4,3,Loyal Customers
15292,408,4,8812,5,3,2,New Customers
7152,39,6,15188,5,4,4,Champions
36533,169,8,31255,5,5,5,Champions
2655,421,6,14873,5,4,4,Champions
38946,364,5,18013,5,4,4,Champions
19396,206,5,14492,5,4,3,Loyal Customers
2392,101,10,27995,5,5,5,Champions
11520,75,5,14838,5,4,4,Champions
13504,212,7,16393,5,5,4,Champions
30751,23,6,15497,5,4,4,Champions
9403,108,7,14573,5,5,3,Loyal Customers
24254,1,4,7212,5,3,1,New Customers
13923,336,5,10026,5,4,2,New Customers
34195,252,6,18846,5,4,4,Champions
28604,46,8,18857,5,5,4,Champions
38308,729,3,7165,1,2,1,Lost
27633,144,3,5066,5,2,1,New Customers
3913,146,7,19293,5,5,5,Champions
47664,46,3,2536,5,2,1,New Customers
8678,376,7,20444,5,5,5,Champions
36905,319,6,15224,5,4,4,Champions
18825,295,6,17250,5,4,4,Champions
46974,23,7,16252,5,5,4,Champions
49310,90,6,20659,5,4,5,Champions
10840,51,6,14320,5,4,3,Loyal Customers
1977,182,9,30622,5,5,5,Champions
29714,49,9,27766,5,5,5,Champions
20719,231,9,26670,5,5,5,Champions
38728,40,8,27530,5,5,5,Champions
19317,163,7,18069,5,5,4,Champions
16094,142,4,11177,5,3,2,New Customers
28343,163,9,17854,5,5,4,Champions
35830,336,5,14779,5,4,3,Loyal Customers
31381,359,5,13657,5,4,3,Loyal Customers
35626,58,9,33209,5,5,5,Champions
37036,80,3,6410,5,2,1,New Customers
46274,32,6,20435,5,4,5,Champions
32094,90,6,18595,5,4,4,Champions
11482,52,7,17302,5,5,4,Champions
21978,71,6,17794,5,4,4,Champions
10632,238,5,14393,5,4,3,Loyal Customers
41821,257,10,25474,5,5,5,Champions
41838,158,5,9791,5,4,2,New Customers
13329,170,2,1409,5,1,1,New Customers
43540,147,8,24427,5,5,5,Champions
35514,166,4,13642,5,3,3,Loyal Customers
35188,25,9,19501,5,5,5,Champions
12249,1,9,31530,5,5,5,Champions
9575,367,10,27648,5,5,5,Champions
32290,139,4,7409,5,3,1,New Customers
44354,176,6,12924,5,4,3,Loyal Customers
255,54,10,20773,5,5,5,Champions
5847,109,3,3164,5,2,1,New Customers
48502,87,6,17790,5,4,4,Champions
16985,86,12,30225,5,5,5,Champions
45248,455,5,15215,1,4,4,Cannot Lose Them
49043,16,5,12158,5,4,3,Loyal Customers
39787,249,5,15348,5,4,4,Champions
39092,608,3,5875,1,2,1,Lost
23740,177,7,12996,5,5,3,Loyal Customers
36930,96,5,17995,5,4,4,Champions
45891,702,4,10137,1,3,2,Others
18881,193,7,19620,5,5,5,Champions
1157,213,5,10982,5,4,2,New Customers
3631,247,4,11584,5,3,3,Loyal Customers
31697,15,10,24025,5,5,5,Champions
14365,263,6,17138,5,4,4,Champions
15594,70,5,7243,5,4,1,New Customers
33189,26,9,18638,5,5,4,Champions
27657,366,5,12709,5,4,3,Loyal Customers
898,84,8,23870,5,5,5,Champions
9344,66,2,5273,5,1,1,New Customers
48872,8,13,25852,5,5,5,Champions
32253,167,6,11906,5,4,3,Loyal Customers
32199,217,4,8048,5,3,2,New Customers
6396,60,6,13794,5,4,3,Loyal Customers
43689,107,7,28043,5,5,5,Champions
35454,50,5,11747,5,4,3,Loyal Customers
22903,435,6,16371,1,4,4,Cannot Lose Them
9675,462,6,13802,1,4,3,Cannot Lose Them
19690,817,3,7372,1,2,1,Lost
45019,619,6,18089,1,4,4,Cannot Lose Them
18307,191,6,15628,5,4,4,Champions
10090,167,4,7554,5,3,1,New Customers
25923,137,6,14922,5,4,4,Champions
25355,47,8,21429,5,5,5,Champions
35595,77,6,13092,5,4,3,Loyal Customers
2914,255,8,22383,5,5,5,Champions
35348,15,9,20261,5,5,5,Champions
2027,96,5,17275,5,4,4,Champions
32473,481,2,5661,1,1,1,Lost
26746,169,4,11093,5,3,2,New Customers
6176,210,4,3956,5,3,1,New Customers
799,106,9,28005,5,5,5,Champions
6722,188,6,12762,5,4,3,Loyal Customers
47666,250,4,14211,5,3,3,Loyal Customers
296,133,7,20804,5,5,5,Champions
26970,203,4,9506,5,3,2,New Customers
38704,138,6,20879,5,4,5,Champions
43925,410,8,29562,5,5,5,Champions
8857,174,3,6416,5,2,1,New Customers
1466,284,3,9729,5,2,2,New Customers
42545,37,8,24052,5,5,5,Champions
46450,266,5,14693,5,4,3,Loyal Customers
10882,69,8,14932,5,5,4,Champions
8482,261,6,19661,5,4,5,Champions
5178,206,6,15656,5,4,4,Champions
37265,336,4,7089,5,3,1,New Customers
37199,27,4,14195,5,3,3,Loyal Customers
49267,87,8,26550,5,5,5,Champions
38169,246,8,27631,5,5,5,Champions
36733,9,8,18412,5,5,4,Champions
40945,118,7,22705,5,5,5,Champions
24926,29,7,19267,5,5,4,Champions
16391,185,7,22672,5,5,5,Champions
48233,140,7,17973,5,5,4,Champions
27413,339,3,7061,5,2,1,New Customers
36580,217,11,28342,5,5,5,Champions
22068,65,10,21091,5,5,5,Champions
42988,270,10,26749,5,5,5,Champions
29503,95,7,18216,5,5,4,Champions
31537,240,7,12001,5,5,3,Loyal Customers
32866,93,12,28445,5,5,5,Champions
19063,370,5,18232,5,4,4,Champions
1766,273,5,11657,5,4,3,Loyal Customers
39517,205,8,20826,5,5,5,Champions
48309,12,7,14082,5,5,3,Loyal Customers
17378,102,8,18611,5,5,4,Champions
5929,387,6,16344,5,4,4,Champions
6376,219,4,8535,5,3,2,New Customers
8450,49,5,16987,5,4,4,Champions
25601,18,7,21379,5,5,5,Champions
16255,316,3,6322,5,2,1,New Customers
20742,363,4,6470,5,3,1,New Customers
35571,171,8,25982,5,5,5,Champions
46076,54,8,17316,5,5,4,Champions
46586,423,7,17840,5,5,4,Champions
14556,19,9,24439,5,5,5,Champions
3657,470,4,8646,1,3,2,Others
29974,286,3,5217,5,2,1,New Customers
513,45,11,21332,5,5,5,Champions
49919,66,3,10423,5,2,2,New Customers
30004,477,1,768,1,1,1,Lost
5030,20,7,25474,5,5,5,Champions
36108,41,8,19859,5,5,5,Champions
5457,837,4,14379,1,3,3,Others
4624,31,5,10141,5,4,2,New Customers
15633,83,6,18511,5,4,4,Champions
14760,149,7,21125,5,5,5,Champions
45215,125,8,19825,5,5,5,Champions
19328,206,3,8317,5,2,2,New Customers
8145,313,5,17148,5,4,4,Champions
8664,15,9,20331,5,5,5,Champions
7912,548,2,7326,1,1,1,Lost
8051,154,6,20997,5,4,5,Champions
22313,47,9,26598,5,5,5,Champions
42675,160,3,12667,5,2,3,New Customers
12757,362,4,14869,5,3,4,Loyal Customers
24331,179,7,22413,5,5,5,Champions
7283,26,8,16601,5,5,4,Champions
16954,469,6,12023,1,4,3,Cannot Lose Them
4531,137,6,13094,5,4,3,Loyal Customers
12727,224,5,15163,5,4,4,Champions
20931,80,10,20804,5,5,5,Champions
10947,271,8,17210,5,5,4,Champions
37906,829,4,14778,1,3,3,Others
4167,245,5,10682,5,4,2,New Customers
49937,837,6,11337,1,4,3,Cannot Lose Them
13701,27,5,18416,5,4,4,Champions
38344,217,2,1132,5,1,1,New Customers
49094,475,4,11333,1,3,3,Others
25169,367,4,10055,5,3,2,New Customers
38041,161,6,13767,5,4,3,Loyal Customers
29654,77,6,16898,5,4,4,Champions
16800,160,5,13895,5,4,3,Loyal Customers
30606,103,4,10686,5,3,2,New Customers
26070,139,10,27354,5,5,5,Champions
6082,706,4,8306,1,3,2,Others
19284,88,5,15953,5,4,4,Champions
31456,23,5,11069,5,4,2,New Customers
35043,82,7,19776,5,5,5,Champions
36103,262,3,4688,5,2,1,New Customers
6237,201,6,11943,5,4,3,Loyal Customers
673,6,7,19648,5,5,5,Champions
44441,236,7,18540,5,5,4,Champions
41615,110,4,10078,5,3,2,New Customers
35905,8,11,30111,5,5,5,Champions
46708,48,4,10238,5,3,2,New Customers
20021,22,3,6949,5,2,1,New Customers
49377,173,8,19641,5,5,5,Champions
22638,209,6,16783,5,4,4,Champions
13022,385,7,15221,5,5,4,Champions
30250,349,4,10894,5,3,2,New Customers
10022,546,5,15625,1,4,4,Cannot Lose Them
33494,397,8,17626,5,5,4,Champions
15270,494,2,6690,1,1,1,Lost
23010,1090,2,1803,1,1,1,Lost
22983,98,4,7257,5,3,1,New Customers
33369,175,6,18126,5,4,4,Champions
48549,265,4,9722,5,3,2,New Customers
6108,88,8,23911,5,5,5,Champions
8085,194,7,14259,5,5,3,Loyal Customers
18014,66,9,28825,5,5,5,Champions
9324,618,1,2888,1,1,1,Lost
13214,137,6,16485,5,4,4,Champions
10293,63,5,16005,5,4,4,Champions
34210,108,6,16551,5,4,4,Champions
16317,202,6,16324,5,4,4,Champions
12523,560,5,13569,1,4,3,Cannot Lose Them
36130,353,3,4577,5,2,1,New Customers
40253,230,9,29289,5,5,5,Champions
45111,310,5,19903,5,4,5,Champions
36476,119,7,17264,5,5,4,Champions
32561,114,6,10430,5,4,2,New Customers
38119,36,11,27605,5,5,5,Champions
30781,35,10,29818,5,5,5,Champions
32736,38,6,14459,5,4,3,Loyal Customers
15491,93,6,10456,5,4,2,New Customers
48805,26,4,10706,5,3,2,New Customers
23850,264,7,15562,5,5,4,Champions
42783,165,4,12685,5,3,3,Loyal Customers
30660,78,7,18160,5,5,4,Champions
29653,379,5,17684,5,4,4,Champions
38862,18,7,14906,5,5,4,Champions
25081,111,6,13844,5,4,3,Loyal Customers
34432,207,4,9434,5,3,2,New Customers
17554,830,4,12418,1,3,3,Others
38323,198,7,19662,5,5,5,Champions
5383,33,5,13161,5,4,3,Loyal Customers
13967,299,5,12888,5,4,3,Loyal Customers
28108,233,4,12794,5,3,3,Loyal Customers
37767,17,8,26687,5,5,5,Champions
16544,275,4,11891,5,3,3,Loyal Customers
593,221,5,9481,5,4,2,New Customers
44979,332,5,7071,5,4,1,New Customers
17067,12,7,19283,5,5,5,Champions
38052,405,6,19259,5,4,4,Champions
49809,142,8,18737,5,5,4,Champions
13516,10,6,13762,5,4,3,Loyal Customers
36894,94,5,14752,5,4,3,Loyal Customers
4762,375,7,18192,5,5,4,Champions
49425,1,5,12684,5,4,3,Loyal Customers
27493,172,11,29572,5,5,5,Champions
19862,37,8,25963,5,5,5,Champions
4182,218,3,4041,5,2,1,New Customers
46908,133,8,22396,5,5,5,Champions
2797,358,4,10494,5,3,2,New Customers
47751,675,2,619,1,1,1,Lost
45802,190,3,11857,5,2,3,New Customers
34735,369,6,14826,5,4,4,Champions
4401,195,9,24757,5,5,5,Champions
42177,204,8,21786,5,5,5,Champions
1417,64,10,32098,5,5,5,Champions
30141,207,6,16908,5,4,4,Champions
5298,316,4,13241,5,3,3,Loyal Customers
12169,37,7,17252,5,5,4,Champions
48403,330,6,16982,5,4,4,Champions
3843,580,5,12807,1,4,3,Cannot Lose Them
12384,142,8,22541,5,5,5,Champions
22158,30,7,13449,5,5,3,Loyal Customers
19215,343,3,7272,5,2,1,New Customers
43018,2,9,25632,5,5,5,Champions
1561,51,3,5962,5,2,1,New Customers
48659,84,8,25466,5,5,5,Champions
46886,51,6,12279,5,4,3,Loyal Customers
22707,195,8,16265,5,5,4,Champions
3124,414,6,21588,5,4,5,Champions
31039,246,8,25016,5,5,5,Champions
16738,17,6,19692,5,4,5,Champions
40061,154,11,37172,5,5,5,Champions
26309,253,3,11824,5,2,3,New Customers
23901,29,7,12572,5,5,3,Loyal Customers
24650,93,9,31618,5,5,5,Champions
37898,821,3,8289,1,2,2,Lost
28089,41,7,19332,5,5,5,Champions
21946,125,7,19958,5,5,5,Champions
47246,204,9,22502,5,5,5,Champions
39717,263,5,2755,5,4,1,New Customers
7359,653,4,18206,1,3,4,Others
1700,197,6,16270,5,4,4,Champions
37701,1283,2,5792,1,1,1,Lost
28953,48,7,10689,5,5,2,New Customers
39385,145,4,9870,5,3,2,New Customers
16801,154,6,21128,5,4,5,Champions
7497,43,8,18234,5,5,4,Champions
47272,75,6,16488,5,4,4,Champions
23032,259,5,18484,5,4,4,Champions
27631,416,6,17161,5,4,4,Champions
26091,288,4,9156,5,3,2,New Customers
43953,101,2,6341,5,1,1,New Customers
31694,81,6,16504,5,4,4,Champions
3844,9,9,23110,5,5,5,Champions
15202,29,4,8641,5,3,2,New Customers
46929,183,10,27194,5,5,5,Champions
47471,5,11,22570,5,5,5,Champions
4452,94,5,12498,5,4,3,Loyal Customers
7202,98,5,11393,5,4,3,Loyal Customers
47320,214,6,16328,5,4,4,Champions
683,82,4,12525,5,3,3,Loyal Customers
12179,423,8,23520,5,5,5,Champions
16125,352,2,4719,5,1,1,New Customers
48789,368,9,21911,5,5,5,Champions
30586,164,9,22876,5,5,5,Champions
36507,45,9,24080,5,5,5,Champions
35865,79,4,12917,5,3,3,Loyal Customers
24913,79,11,23503,5,5,5,Champions
29647,177,4,14066,5,3,3,Loyal Customers
29945,273,6,12397,5,4,3,Loyal Customers
12755,420,5,11989,5,4,3,Loyal Customers
27745,107,5,12166,5,4,3,Loyal Customers
12080,394,7,24297,5,5,5,Champions
35214,22,12,30294,5,5,5,Champions
29715,142,6,19319,5,4,5,Champions
24281,370,3,6777,5,2,1,New Customers
642,291,4,9529,5,3,2,New Customers
38670,309,3,4995,5,2,1,New Customers
31921,39,7,21209,5,5,5,Champions
28514,267,5,16402,5,4,4,Champions
796,598,3,5892,1,2,1,Lost
28085,1347,1,2975,1,1,1,Lost
211,544,4,7402,1,3,1,Others
38769,239,7,15216,5,5,4,Champions
42178,466,4,10021,1,3,2,Others
48352,282,5,14366,5,4,3,Loyal Customers
38830,63,9,19029,5,5,4,Champions
5038,476,5,12360,1,4,3,Cannot Lose Them
38991,170,3,9010,5,2,2,New Customers
41577,202,1,1963,5,1,1,New Customers
42890,587,6,21137,1,4,5,Cannot Lose Them
36063,29,4,10721,5,3,2,New Customers
47102,662,3,9903,1,2,2,Lost
38456,250,5,12044,5,4,3,Loyal Customers
47597,279,4,12027,5,3,3,Loyal Customers
41552,637,3,5023,1,2,1,Lost
13368,54,4,14923,5,3,4,Loyal Customers
11333,34,6,17854,5,4,4,Champions
36154,97,6,15051,5,4,4,Champions
368,14,8,28667,5,5,5,Champions
11897,84,7,18389,5,5,4,Champions
19603,36,8,28070,5,5,5,Champions
47415,706,6,17751,1,4,4,Cannot Lose Them
21232,88,5,10617,5,4,2,New Customers
28346,67,7,14972,5,5,4,Champions
34866,193,3,9863,5,2,2,New Customers
18390,284,10,26087,5,5,5,Champions
19113,268,7,25422,5,5,5,Champions
25525,118,5,18346,5,4,4,Champions
21016,203,4,6557,5,3,1,New Customers
49328,62,5,21182,5,4,5,Champions
25478,217,5,13637,5,4,3,Loyal Customers
756,91,2,7186,5,1,1,New Customers
2261,157,5,19052,5,4,4,Champions
25963,271,5,12217,5,4,3,Loyal Customers
42260,174,7,17244,5,5,4,Champions
10626,11,10,27148,5,5,5,Champions
36447,189,8,21621,5,5,5,Champions
42184,145,6,12802,5,4,3,Loyal Customers
20688,313,7,22118,5,5,5,Champions
35275,363,3,6321,5,2,1,New Customers
44545,102,5,9584,5,4,2,New Customers
8689,127,8,27385,5,5,5,Champions
16707,30,7,16540,5,5,4,Champions
36510,56,4,12944,5,3,3,Loyal Customers
33754,159,8,24917,5,5,5,Champions
42020,172,3,4805,5,2,1,New Customers
25599,152,7,18465,5,5,4,Champions
31769,5,6,10249,5,4,2,New Customers
14703,282,6,17571,5,4,4,Champions
37790,113,7,15832,5,5,4,Champions
27401,125,6,15911,5,4,4,Champions
24094,265,6,22828,5,4,5,Champions
49963,82,5,19591,5,4,5,Champions
49890,105,4,13818,5,3,3,Loyal Customers
20907,332,8,17225,5,5,4,Champions
17001,553,2,3406,1,1,1,Lost
115,988,5,10746,1,4,2,Cannot Lose Them
44470,403,8,25344,5,5,5,Champions
15479,196,5,6553,5,4,1,New Customers
35734,76,8,27587,5,5,5,Champions
101,202,5,8932,5,4,2,New Customers
40276,146,4,14187,5,3,3,Loyal Customers
24764,263,4,11331,5,3,2,New Customers
19922,406,7,22767,5,5,5,Champions
40482,58,5,11554,5,4,3,Loyal Customers
38727,78,5,16377,5,4,4,Champions
38159,154,6,12864,5,4,3,Loyal Customers
29926,131,4,11702,5,3,3,Loyal Customers
37018,19,5,11652,5,4,3,Loyal Customers
4683,246,7,18479,5,5,4,Champions
13903,224,8,22131,5,5,5,Champions
26501,331,5,18810,5,4,4,Champions
7173,103,6,14122,5,4,3,Loyal Customers
36736,254,6,10508,5,4,2,New Customers
14501,341,5,16169,5,4,4,Champions
16930,268,3,6294,5,2,1,New Customers
39916,55,9,14170,5,5,3,Loyal Customers
8776,338,8,23070,5,5,5,Champions
9416,307,8,27733,5,5,5,Champions
14402,398,4,6266,5,3,1,New Customers
8325,4,7,22005,5,5,5,Champions
30961,262,10,23082,5,5,5,Champions
21496,691,2,6373,1,1,1,Lost
39203,209,5,15268,5,4,4,Champions
12287,176,5,16200,5,4,4,Champions
19810,40,6,15709,5,4,4,Champions
14180,88,4,12200,5,3,3,Loyal Customers
13726,389,5,18303,5,4,4,Champions
41772,351,5,14760,5,4,3,Loyal Customers
20418,402,4,7418,5,3,1,New Customers
38451,277,2,4875,5,1,1,New Customers
4088,90,4,11231,5,3,2,New Customers
34763,59,6,25831,5,4,5,Champions
34925,53,9,30844,5,5,5,Champions
3936,657,6,11691,1,4,3,Cannot Lose Them
22130,126,10,18546,5,5,4,Champions
42826,225,7,18466,5,5,4,Champions
45062,198,6,19612,5,4,5,Champions
47856,728,5,10662,1,4,2,Cannot Lose Them
30189,258,4,8612,5,3,2,New Customers
44964,3,9,22191,5,5,5,Champions
36887,39,6,8679,5,4,2,New Customers
49226,897,3,5454,1,2,1,Lost
49040,564,5,10865,1,4,2,Cannot Lose Them
33418,164,6,19884,5,4,5,Champions
45907,262,5,10352,5,4,2,New Customers
35041,44,5,9395,5,4,2,New Customers
19685,207,7,18963,5,5,4,Champions
30057,92,7,15039,5,5,4,Champions
22851,316,9,25158,5,5,5,Champions
43443,529,5,16347,1,4,4,Cannot Lose Them
34813,1,6,8389,5,4,2,New Customers
939,54,4,11606,5,3,3,Loyal Customers
40315,358,5,14661,5,4,3,Loyal Customers
30041,301,4,9816,5,3,2,New Customers
10651,736,7,15588,1,5,4,Cannot Lose Them
48435,420,4,7802,5,3,2,New Customers
5981,372,6,12577,5,4,3,Loyal Customers
39479,391,3,8375,5,2,2,New Customers
39932,406,4,7047,5,3,1,New Customers
44282,83,8,19307,5,5,5,Champions
44846,246,4,10460,5,3,2,New Customers
14642,311,4,3885,5,3,1,New Customers
33895,339,6,12661,5,4,3,Loyal Customers
27145,29,9,22463,5,5,5,Champions
26972,26,7,19541,5,5,5,Champions
5961,69,7,15031,5,5,4,Champions
7460,309,4,8021,5,3,2,New Customers
436,150,5,11109,5,4,2,New Customers
31287,224,12,40703,5,5,5,Champions
39879,4,8,24981,5,5,5,Champions
38347,65,10,24216,5,5,5,Champions
23202,861,4,16405,1,3,4,Others
28599,119,5,11532,5,4,3,Loyal Customers
39266,134,5,11438,5,4,3,Loyal Customers
33165,4,7,18144,5,5,4,Champions
7935,336,4,12316,5,3,3,Loyal Customers
1496,152,5,11340,5,4,3,Loyal Customers
20573,62,6,11216,5,4,2,New Customers
21531,258,6,12814,5,4,3,Loyal Customers
35287,405,4,12167,5,3,3,Loyal Customers
34164,53,4,10188,5,3,2,New Customers
1426,197,8,19836,5,5,5,Champions
9714,12,4,11825,5,3,3,Loyal Customers
1892,190,4,11081,5,3,2,New Customers
37589,796,4,8075,1,3,2,Others
49157,169,11,22627,5,5,5,Champions
18693,1018,3,11520,1,2,3,Lost
25540,358,5,11755,5,4,3,Loyal Customers
3841,8,5,18859,5,4,4,Champions
49355,83,7,19914,5,5,5,Champions
2079,590,5,11927,1,4,3,Cannot Lose Them
40890,41,5,20609,5,4,5,Champions
14117,787,2,4489,1,1,1,Lost
46880,503,6,15095,1,4,4,Cannot Lose Them
32692,127,5,12311,5,4,3,Loyal Customers
14283,165,5,16071,5,4,4,Champions
7325,45,7,13234,5,5,3,Loyal Customers
2313,130,7,17934,5,5,4,Champions
20731,77,5,11483,5,4,3,Loyal Customers
1296,7,5,21770,5,4,5,Champions
8395,35,10,29118,5,5,5,Champions
41885,173,3,11995,5,2,3,New Customers
17281,100,9,27179,5,5,5,Champions
43751,70,6,16229,5,4,4,Champions
6342,333,3,5910,5,2,1,New Customers
13415,182,7,21435,5,5,5,Champions
47332,389,4,13772,5,3,3,Loyal Customers
17542,609,8,17558,1,5,4,Cannot Lose Them
12269,53,5,15737,5,4,4,Champions
15923,77,7,21768,5,5,5,Champions
2842,49,5,16835,5,4,4,Champions
44997,463,8,12635,1,5,3,Cannot Lose Them
47154,242,6,14917,5,4,4,Champions
